id,decade_start,births,deaths,natural_increase,net_migration,total_change,rate_natural_per_1k,rate_migration_per_1k,rate_total_per_1k
8,2000,23.847,9.535,14.312,-500.771,-486.459,0.9223056508150345,-31.959756197728268,-31.037450546913238
8,2010,23.897000000000002,3.803,20.094,-215.643,-195.549,1.3690552921082257,-14.68155308270156,-13.312497790593335
8,2020,9.883,2.364,7.519,-222.256,-214.737,0.5332938936278462,-15.795415464996609,-15.26212157136876
8,2030,6.865,1.267,5.598,-145.982,-140.38400000000001,0.4274802253619966,-11.150701380573754,-10.723221155211757
8,2040,4.269,0.775,3.4939999999999998,-91.104,-87.61,0.29213353952069643,-7.617443809945719,-7.325310270425023
8,2050,2.767,0.524,2.2430000000000003,-61.574999999999996,-59.332,0.20859519350936134,-5.726414133102709,-5.517818939593348
8,2060,2.099,0.34900000000000003,1.75,-40.332,-38.582,0.18368210153009384,-4.215252572517118,-4.031570470987024
8,2070,1.692,0.255,1.437,-18.65,-17.213,0.1711950288459536,-2.1995922648257293,-2.0283972359797753
8,2080,1.405,0.205,1.2,-7.906000000000001,-6.706,0.16487282789742147,-1.0753360155212432,-0.9104631876238217
8,2090,1.258,0.157,1.101,-2.197,-1.096,0.1760461191283343,-0.34505512538021643,-0.16900900625188214
8,2100,0.121,0.014,0.107,-0.128,-0.021000000000000005,0.18447130867739245,-0.2206759580439835,-0.03620464936659105
12,1950,528.564,1215.805,-687.241,-254.918,-942.159,-13.837783740573423,-4.928153815181429,-18.765937555754853
12,1960,619.712,1426.7930000000001,-807.081,-773.819,-1580.9,-13.429543044258333,-13.087643909776043,-26.51718695403438
12,1970,735.929,1406.435,-670.506,489.558,-180.94799999999995,-8.973193893050281,6.009133406357339,-2.96406048669294
12,1980,514.244,728.675,-214.431,439.83299999999997,225.402,-2.172273270059386,4.2945836099738965,2.122310339914509
12,1990,280.445,340.404,-59.959,230.72799999999998,170.769,-0.43803390759610716,1.670864676595548,1.2328307689994409
12,2000,151.853,238.28900000000002,-86.436,-284.40500000000003,-370.841,-0.5416357059187792,-1.793285245527509,-2.3349209514462883
12,2010,150.526,250.214,-99.688,-221.186,-320.874,-0.5146637870990255,-1.1424088967381416,-1.6570726838371672
12,2020,158.18,178.505,-20.324999999999996,-240.301,-260.626,-0.09559661004808304,-1.0325102083675475,-1.1281068184156304
12,2030,183.357,109.212,74.14500000000001,-296.31,-222.165,0.28847145728906065,-1.1563299020924327,-0.8678584448033719
12,2040,138.945,86.817,52.128,-308.831,-256.703,0.18636661616166986,-1.1032777956430038,-0.9169111794813338
12,2050,121.559,60.487,61.072,-287.676,-226.604,0.2022494842816429,-0.9543786436498959,-0.752129159368253
12,2060,128.364,41.05,87.314,-339.927,-252.613,0.2799062159801956,-1.09009724226492,-0.8101910262847243
12,2070,114.783,32.734,82.049,-291.842,-209.793,0.25896396281302253,-0.9211558373451467,-0.6621918745321242
