id,oadr_peak,oadr_p10,oadr_p15,oadr_p20,oadr_p25,oadr_p30
170,0.31733557468529217,0.4282165893750684,0.4951825988810141,0.552924319360676,0.5923265077335252,0.6141478468203623
174,0.2591710780089458,0.2591710780089458,0.2591710780089458,0.2591710780089458,0.2591710780089458,0.2591710780089458
175,0.26981283623995395,0.26981283623995395,0.26981283623995395,0.26981283623995395,0.26981283623995395,0.26981283623995395
178,0.20624038227532016,0.20624038227532016,0.20624038227532016,0.20624038227532016,0.20624038227532016,0.20624038227532016
180,0.16489440042821693,0.16489440042821693,0.16489440042821693,0.16489440042821693,0.16489440042821693,0.16489440042821693
184,0.06789145813536059,0.0796976241900648,0.08025869380831213,0.07847121432027093,0.08551946207027182,0.10297029702970298
188,0.3378506048158527,0.4621003070675736,0.5304378058518535,0.5976364344464626,0.6581212707953814,0.7149928430345535
191,0.16907440213111571,0.236973389599636,0.26201435322704275,0.2675122207815386,0.290736725711684,0.339159972603499
192,0.19119488614775726,0.23194376634054273,0.2722774245050984,0.354734161109258,0.4407411732138331,0.49895840354002535
196,0.47087991746048685,0.6050940646528881,0.6100195203256792,0.6008167516031178,0.5927901402045647,0.5932431771915618
203,0.3221347723188107,0.3638607433665174,0.3931966383374691,0.46412229727424303,0.5111138113099108,0.5414721657923391
204,0.18275909142186916,0.18275909142186916,0.18275909142186916,0.18275909142186916,0.18275909142186916,0.18275909142186916
208,0.42709128934023466,0.4290880095096738,0.44470628701429515,0.4683200943709551,0.4863757846691507,0.5066995436803741
212,0.13461185779035345,0.15498759305210918,0.15412538016285685,0.16408278137661644,0.1642209054717156,0.1698867421718854
214,0.29027860955294105,0.3419028981032767,0.36870295688643606,0.39906856223887704,0.42814516529159696,0.4515982856880003
218,0.3780819450711298,0.4692963492238948,0.5175675593901673,0.550038698931937,0.5725101099971605,0.5864781930514299
222,0.20368096758668897,0.26494131624899603,0.3310067092785469,0.40325253266157657,0.45110605864152525,0.49628323976890903
226,0.20864241974717052,0.20864241974717052,0.20864241974717052,0.20864241974717052,0.20864241974717052,0.20864241974717052
